#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
85,S. Korea,"74,692",+430,"1,337 ",+9,"62,044",+629,"11,311",297,"1,456",26,"5,329,707","103,905","51,294,039 "
86,Albania,"70,655",,"1,303 ",,"42,895",,"26,457",39,"24,567",453,"323,375","112,438","2,876,025 "
87,Norway,"60,565",,544 ,,"49,835",,"10,186",41,"11,123",100,"3,259,678","598,653","5,445,018 "
88,Latvia,"59,586",,"1,076 ",,"46,981",,"11,529",95,"31,790",574,"1,091,257","582,199","1,874,372 "
89,Ghana,"59,480",,361 ,,"56,706",,"2,413",29,"1,892",11,"726,313","23,106","31,433,585 "
90,Singapore,"59,260",+10,29 ,,"58,983",,248,1,"10,085",5,"6,061,147","1,031,483","5,876,149 "
91,Montenegro,"57,482",,765 ,,"48,571",,"8,146",68,"91,516","1,218","215,765","343,514","628,111 "
92,Sri Lanka,"56,863",,278 ,,"48,617",,"7,968",,"2,649",13,"1,557,630","72,570","21,463,723 "
93,Afghanistan,"54,559",,"2,373 ",,"46,912",,"5,274",807,"1,384",60,"236,300","5,995","39,415,253 "
94,El Salvador,"52,672",,"1,540 ",,"46,370",,"4,762",105,"8,098",237,"675,048","103,780","6,504,594 "
95,Luxembourg,"49,438",,562 ,,"46,656",,"2,220",14,"78,267",890,"1,828,776","2,895,195","631,659 "
96,Zambia,"43,333",,610 ,,"32,667",,"10,056",388,"2,321",33,"816,005","43,710","18,668,783 "
97,Finland,"41,915",,644 ,,"31,000",,"10,271",24,"7,558",116,"2,699,723","486,826","5,545,566 "
98,Estonia,"39,701",,358 ,,"29,167",,"10,176",45,"29,917",270,"731,562","551,274","1,327,038 "
99,Uganda,"38,935",,317 ,,"13,699",,"24,919",,837,7,"810,849","17,423","46,538,089 "
100,Uruguay,"36,170",,364 ,,"27,715",,"8,091",94,"10,392",105,"788,660","226,594","3,480,501 "
101,Namibia,"31,848",,311 ,,"29,571",,"1,966",27,"12,409",121,"250,658","97,664","2,566,540 "
102,Mozambique,"30,848",,290 ,,"19,858",,"10,700",,972,9,"319,169","10,056","31,739,867 "
103,Zimbabwe,"30,523",,962 ,,"21,080",,"8,481",99,"2,037",64,"266,957","17,816","14,983,750 "
104,Cyprus,"29,758",,179 ,,"2,057",,"27,522",58,"24,547",148,"945,812","780,186","1,212,291 "
